"site_code","plot_id","treatment_code","sample_date","season_year","tissue_type","analyte","Weight","percent_composition","Comment"
"SNE","55","P",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",2.024,5.6,NA
"SNE","55","P",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",2.024,3.44,NA
"SNE","54","NP",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",2.006,47.53,NA
"SNE","54","NP",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",2.006,6.66,NA
"SNE","54","NP",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",2.006,4.18,NA
"SNE","52","N",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",2.002,47.83,NA
"SNE","52","N",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",2.002,6.66,NA
"SNE","52","N",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",2.002,4.1,NA
"SNE","51","C1",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",2.073,47.61,NA
"SNE","51","C1",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",2.073,6.67,NA
"SNE","51","C1",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",2.073,3.93,NA
"DBG","50","C1",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",2.084,49.19,NA
"DBG","50","C1",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",2.084,6.48,NA
"DBG","50","C1",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",2.084,2.7,NA
"DBG","49","N",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",1.919,48.46,NA
"DBG","49","N",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",1.919,6.42,NA
"DBG","49","N",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",1.919,2.69,NA
"DBG","48","NP",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",2.047,50.16,NA
"DBG","48","NP",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",2.047,6.6,NA
"DBG","48","NP",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",2.047,2.72,NA
"DBG","46","P",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",1.933,47.14,NA
"DBG","46","P",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",1.933,6.15,NA
"DBG","46","P",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",1.933,2.68,NA
"SMW","45","NP",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",1.941,49.14,NA
"SMW","45","NP",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",1.941,6.49,NA
"SMW","45","NP",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",1.941,3.15,NA
"SMW","44","C1",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",2.07,52.28,NA
"SMW","44","C1",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",2.07,6.61,NA
"SMW","44","C1",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",2.07,2.64,NA
"SMW","43","P",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",2.011,48.18,NA
"SMW","43","P",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",2.011,6.61,NA
"SMW","43","P",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",2.011,3.59,NA
"SMW","42","N",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",2.013,47.86,NA
"SMW","42","N",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",2.013,6.59,NA
"SMW","42","N",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",2.013,3.84,NA
"MVP","39","P",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",1.96,47.81,NA
"MVP","39","P",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",1.96,6.35,NA
"MVP","39","P",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",1.96,2.88,NA
"MVP","37","NP",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",2.135,48.26,NA
"MVP","37","NP",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",2.135,6.34,NA
"MVP","37","NP",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",2.135,2.71,NA
"MVP","36","N",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",2.082,49.21,NA
"MVP","36","N",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",2.082,6.57,NA
"MVP","36","N",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",2.082,2.84,NA
"PWP","35","P",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.041,50,NA
"PWP","35","P",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.041,6.7,NA
"PWP","35","P",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.041,3.05,NA
"PWP","34","NP",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.082,48.72,NA
"PWP","34","NP",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.082,6.55,NA
"PWP","34","NP",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.082,3.5,NA
"PWP","33","C1",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.013,47.49,NA
"PWP","33","C1",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.013,6.31,NA
"PWP","33","C1",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.013,3.2,NA
"PWP","31","N",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.207,48.62,NA
"PWP","31","N",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.207,6.56,NA
"PWP","31","N",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.207,3.33,NA
"SME","29","C1",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",2.075,52.66,NA
"SME","29","C1",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",2.075,6.44,NA
"SME","29","C1",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",2.075,2.59,NA
"SME","28","P",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",2.172,48.92,NA
"SME","28","P",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",2.172,6.51,NA
"SME","28","P",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",2.172,3.09,NA
"SME","27","NP",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",2.081,49.53,NA
"SME","27","NP",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",2.081,6.54,NA
"SME","27","NP",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",2.081,3.11,NA
"SME","26","N",2015-10-05,"fall_2015","Larrea tridentata","Carbon %",1.976,49.3,NA
"SME","26","N",2015-10-05,"fall_2015","Larrea tridentata","Hydrogen %",1.976,6.41,NA
"SME","26","N",2015-10-05,"fall_2015","Larrea tridentata","Nitrogen %",1.976,2.65,NA
"MCS","24","C1",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.011,48.57,NA
"MCS","24","C1",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.011,6.59,NA
"MCS","24","C1",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.011,2.61,NA
"MCS","23","P",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.143,50.61,NA
"MCS","23","P",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.143,6.77,NA
"MCS","23","P",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.143,2.51,NA
"MCS","22","N",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.302,49.25,NA
"MCS","22","N",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.302,6.71,NA
"MCS","22","N",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.302,2.54,NA
"MCS","21","NP",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.194,48.86,NA
"MCS","21","NP",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.194,6.84,NA
"MCS","21","NP",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.194,2.85,NA
"MCN","20","NP",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.231,47.51,NA
"MCN","20","NP",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.231,6.77,NA
"MCN","20","NP",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.231,2.66,NA
"MCN","18","C1",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",2.178,49.4,NA
"MCN","18","C1",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",2.178,6.82,NA
"MCN","18","C1",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",2.178,2.09,NA
"MCN","17","P",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",1.922,48.93,NA
"MCN","17","P",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",1.922,6.59,NA
"MCN","17","P",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",1.922,2.43,NA
"MCN","16","N",2015-10-08,"fall_2015","Larrea tridentata","Carbon %",1.929,49.51,NA
"MCN","16","N",2015-10-08,"fall_2015","Larrea tridentata","Hydrogen %",1.929,6.67,NA
"MCN","16","N",2015-10-08,"fall_2015","Larrea tridentata","Nitrogen %",1.929,2.6,NA
"SRR","14","P",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",1.968,49.66,NA
"SRR","14","P",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",1.968,6.32,NA
"SRR","14","P",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",1.968,2.46,NA
"SRR","12","NP",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",2.142,49.1,NA
"SRR","12","NP",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",2.142,6.51,NA
"SRR","12","NP",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",2.142,2.71,NA
"UMP","10","N",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",2.151,47.6,NA
"UMP","10","N",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",2.151,6.18,NA
"UMP","10","N",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",2.151,2.44,NA
"UMP","9","C1",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",2.068,47.76,NA
"UMP","9","C1",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",2.068,6.25,NA
"UMP","9","C1",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",2.068,2.25,NA
"UMP","8","P",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",2.025,48.69,NA
"UMP","8","P",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",2.025,6.27,NA
"UMP","8","P",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",2.025,2.23,NA
"UMP","6","NP",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",2.126,48.67,NA
"UMP","6","NP",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",2.126,6.24,NA
"UMP","6","NP",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",2.126,2.47,NA
"LDP","5","C1",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",2.155,49.14,NA
"LDP","5","C1",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",2.155,6.4,NA
"LDP","5","C1",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",2.155,2.32,NA
"LDP","4","P",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",1.969,49.58,NA
"LDP","4","P",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",1.969,6.46,NA
"LDP","4","P",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",1.969,2.41,NA
"LDP","3","NP",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",1.889,50,NA
"LDP","3","NP",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",1.889,6.48,NA
"LDP","3","NP",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",1.889,2.63,NA
"LDP","1","N",2015-10-06,"fall_2015","Larrea tridentata","Carbon %",1.949,48.4,"Larrea Fall 2015"
"LDP","1","N",2015-10-06,"fall_2015","Larrea tridentata","Hydrogen %",1.949,6.37,"Larrea Fall 2015"
"LDP","1","N",2015-10-06,"fall_2015","Larrea tridentata","Nitrogen %",1.949,3.08,"Larrea Fall 2015"
"WTM","75","N",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",2.238,49.52,NA
"WTM","75","N",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",2.238,6.69,NA
"WTM","75","N",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",2.238,3.27,NA
"WTM","74","P",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",1.89,49.03,NA
"WTM","74","P",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",1.89,6.52,NA
"WTM","74","P",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",1.89,2.94,NA
"WTM","73","NP",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",1.772,47.7,NA
"WTM","73","NP",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",1.772,6.44,NA
"WTM","73","NP",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",1.772,2.61,NA
"WTM","71","C1",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",2.036,48.19,NA
"WTM","71","C1",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",2.036,6.55,NA
"WTM","71","C1",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",2.036,2.69,NA
"EME","70","P",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",2.136,49.63,NA
"EME","70","P",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",2.136,6.76,NA
"EME","70","P",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",2.136,2.88,NA
"EME","68","NP",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",2.03,49.61,NA
"EME","68","NP",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",2.03,6.7,NA
"EME","68","NP",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",2.03,3.1,NA
"EME","67","N",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",1.863,49.06,NA
"EME","67","N",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",1.863,6.44,NA
"EME","67","N",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",1.863,3.16,NA
"EMW","65","N",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",1.816,49.6,NA
"EMW","65","N",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",1.816,6.6,NA
"EMW","65","N",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",1.816,3.01,NA
"EMW","64","C1",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",1.997,48.73,NA
"EMW","64","C1",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",1.997,6.52,NA
"EMW","64","C1",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",1.997,2.85,NA
"EMW","63","P",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",2.224,49.33,NA
"EMW","63","P",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",2.224,6.68,NA
"EMW","63","P",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",2.224,3.03,NA
"EMW","62","NP",2016-10-11,"fall_2016","Larrea tridentata","Carbon %",2.147,49.67,NA
"EMW","62","NP",2016-10-11,"fall_2016","Larrea tridentata","Hydrogen %",2.147,6.4,NA
"EMW","62","NP",2016-10-11,"fall_2016","Larrea tridentata","Nitrogen %",2.147,3.18,NA
"SNW","60","C1",2016-10-10,"fall_2016","Larrea tridentata","Carbon %",1.847,50.68,NA
"SNW","60","C1",2016-10-10,"fall_2016","Larrea tridentata","Hydrogen %",1.847,6.38,NA
"SNW","60","C1",2016-10-10,"fall_2016","Larrea tridentata","Nitrogen %",1.847,2.93,NA
"SNW","59","NP",2016-10-10,"fall_2016","Larrea tridentata","Carbon %",1.893,48.67,NA
"SNW","59","NP",2016-10-10,"fall_2016","Larrea tridentata","Hydrogen %",1.893,6.23,NA
"SNW","59","NP",2016-10-10,"fall_2016","Larrea tridentata","Nitrogen %",1.893,3.26,NA
"SNW","57","P",2016-10-10,"fall_2016","Larrea tridentata","Carbon %",1.904,48.29,NA
"SNW","57","P",2016-10-10,"fall_2016","Larrea tridentata","Hydrogen %",1.904,6.18,NA
"SNW","57","P",2016-10-10,"fall_2016","Larrea tridentata","Nitrogen %",1.904,3.06,NA
"SNW","56","N",2016-10-10,"fall_2016","Larrea tridentata","Carbon %",2.057,49.65,NA
"SNW","56","N",2016-10-10,"fall_2016","Larrea tridentata","Hydrogen %",2.057,6.6,NA
"SNW","56","N",2016-10-10,"fall_2016","Larrea tridentata","Nitrogen %",2.057,3.29,NA
"SNE","55","P",2016-10-10,"fall_2016","Larrea tridentata","Carbon %",1.869,50.57,NA
"SNE","55","P",2016-10-10,"fall_2016","Larrea tridentata","Hydrogen %",1.869,6.54,NA
"SNE","55","P",2016-10-10,"fall_2016","Larrea tridentata","Nitrogen %",1.869,3.01,NA
"SNE","54","NP",2016-10-10,"fall_2016","Larrea tridentata","Carbon %",1.989,49.8,NA
"SNE","54","NP",2016-10-10,"fall_2016","Larrea tridentata","Hydrogen %",1.989,6.55,NA
"SNE","54","NP",2016-10-10,"fall_2016","Larrea tridentata","Nitrogen %",1.989,3.33,NA
"SNE","52","N",2016-10-10,"fall_2016","Larrea tridentata","Carbon %",1.852,49.58,NA
"SNE","52","N",2016-10-10,"fall_2016","Larrea tridentata","Hydrogen %",1.852,6.44,NA
"SNE","52","N",2016-10-10,"fall_2016","Larrea tridentata","Nitrogen %",1.852,3.28,NA
"SNE","51","C1",2016-10-10,"fall_2016","Larrea tridentata","Carbon %",2.036,49.31,NA
"SNE","51","C1",2016-10-10,"fall_2016","Larrea tridentata","Hydrogen %",2.036,6.62,NA
"SNE","51","C1",2016-10-10,"fall_2016","Larrea tridentata","Nitrogen %",2.036,3.05,NA
"DBG","50","C1",2016-10-12,"fall_2016","Larrea tridentata","Carbon %",1.88,48.43,NA
"DBG","50","C1",2016-10-12,"fall_2016","Larrea tridentata","Hydrogen %",1.88,6.37,NA
"DBG","50","C1",2016-10-12,"fall_2016","Larrea tridentata","Nitrogen %",1.88,2.62,NA
"DBG","49","N",2016-10-12,"fall_2016","Larrea tridentata","Carbon %",1.834,47.99,NA
"DBG","49","N",2016-10-12,"fall_2016","Larrea tridentata","Hydrogen %",1.834,6.43,NA
"DBG","49","N",2016-10-12,"fall_2016","Larrea tridentata","Nitrogen %",1.834,2.55,NA
"DBG","48","NP",2016-10-12,"fall_2016","Larrea tridentata","Carbon %",2.179,49.31,NA
"DBG","48","NP",2016-10-12,"fall_2016","Larrea tridentata","Hydrogen %",2.179,6.56,NA
"DBG","48","NP",2016-10-12,"fall_2016","Larrea tridentata","Nitrogen %",2.179,2.75,NA
"DBG","46","P",2016-10-12,"fall_2016","Larrea tridentata","Carbon %",1.864,46.72,NA
"DBG","46","P",2016-10-12,"fall_2016","Larrea tridentata","Hydrogen %",1.864,6.28,NA
"DBG","46","P",2016-10-12,"fall_2016","Larrea tridentata","Nitrogen %",1.864,2.63,NA
"SMW","45","NP",2016-10-12,"fall_2016","Larrea tridentata","Carbon %",2.2,49.6,NA
"SMW","45","NP",2016-10-12,"fall_2016","Larrea tridentata","Hydrogen %",2.2,6.8,NA
"SMW","45","NP",2016-10-12,"fall_2016","Larrea tridentata","Nitrogen %",2.2,3.58,NA
"SMW","44","C1",2016-10-12,"fall_2016","Larrea tridentata","Carbon %",1.86,50.3,NA
"SMW","44","C1",2016-10-12,"fall_2016","Larrea tridentata","Hydrogen %",1.86,6.64,NA
"SMW","44","C1",2016-10-12,"fall_2016","Larrea tridentata","Nitrogen %",1.86,3.49,NA
"SMW","43","P",2016-10-12,"fall_2016","Larrea tridentata","Carbon %",1.998,49.71,NA
"SMW","43","P",2016-10-12,"fall_2016","Larrea tridentata","Hydrogen %",1.998,6.72,NA
"SMW","43","P",2016-10-12,"fall_2016","Larrea tridentata","Nitrogen %",1.998,3.65,NA
"SMW","42","N",2016-10-12,"fall_2016","Larrea tridentata","Carbon %",2.088,49.13,NA
"SMW","42","N",2016-10-12,"fall_2016","Larrea tridentata","Hydrogen %",2.088,6.77,NA
"SMW","42","N",2016-10-12,"fall_2016","Larrea tridentata","Nitrogen %",2.088,3.96,NA
"MVP","39","P",2016-10-03,"fall_2016","Larrea tridentata","Carbon %",2.182,49.77,NA
"MVP","39","P",2016-10-03,"fall_2016","Larrea tridentata","Hydrogen %",2.182,6.67,NA
"MVP","39","P",2016-10-03,"fall_2016","Larrea tridentata","Nitrogen %",2.182,2.83,NA
"MVP","38","C1",2016-10-03,"fall_2016","Larrea tridentata","Carbon %",1.943,50.29,NA
"MVP","38","C1",2016-10-03,"fall_2016","Larrea tridentata","Hydrogen %",1.943,6.69,NA
"MVP","38","C1",2016-10-03,"fall_2016","Larrea tridentata","Nitrogen %",1.943,3.22,NA
"MVP","37","NP",2016-10-03,"fall_2016","Larrea tridentata","Carbon %",1.972,49.23,NA
"MVP","37","NP",2016-10-03,"fall_2016","Larrea tridentata","Hydrogen %",1.972,6.56,NA
"MVP","37","NP",2016-10-03,"fall_2016","Larrea tridentata","Nitrogen %",1.972,3.18,NA
"MVP","36","N",2016-10-03,"fall_2016","Larrea tridentata","Carbon %",1.943,48.91,NA
"MVP","36","N",2016-10-03,"fall_2016","Larrea tridentata","Hydrogen %",1.943,6.5,NA
"MVP","36","N",2016-10-03,"fall_2016","Larrea tridentata","Nitrogen %",1.943,3.26,NA
"PWP","35","P",2016-10-03,"fall_2016","Larrea tridentata","Carbon %",2.219,48.29,NA
"PWP","35","P",2016-10-03,"fall_2016","Larrea tridentata","Hydrogen %",2.219,6.56,NA
"PWP","35","P",2016-10-03,"fall_2016","Larrea tridentata","Nitrogen %",2.219,2.64,NA
"PWP","34","NP",2016-10-03,"fall_2016","Larrea tridentata","Carbon %",1.901,48.98,NA
"PWP","34","NP",2016-10-03,"fall_2016","Larrea tridentata","Hydrogen %",1.901,6.54,NA
"PWP","34","NP",2016-10-03,"fall_2016","Larrea tridentata","Nitrogen %",1.901,2.82,NA
"PWP","33","C1",2016-10-03,"fall_2016","Larrea tridentata","Carbon %",2.072,49.81,NA
"PWP","33","C1",2016-10-03,"fall_2016","Larrea tridentata","Hydrogen %",2.072,6.69,NA
"PWP","33","C1",2016-10-03,"fall_2016","Larrea tridentata","Nitrogen %",2.072,3,NA
"PWP","31","N",2016-10-03,"fall_2016","Larrea tridentata","Carbon %",1.968,49.11,NA
"PWP","31","N",2016-10-03,"fall_2016","Larrea tridentata","Hydrogen %",1.968,6.57,NA
"PWP","31","N",2016-10-03,"fall_2016","Larrea tridentata","Nitrogen %",1.968,2.89,NA
"SME","29","C1",2016-10-12,"fall_2016","Larrea tridentata","Carbon %",2,47.79,NA
"SME","29","C1",2016-10-12,"fall_2016","Larrea tridentata","Hydrogen %",2,6.58,NA
"SME","29","C1",2016-10-12,"fall_2016","Larrea tridentata","Nitrogen %",2,2.87,NA
