"site_code","plot_id","treatment_code","sample_date","season_year","tissue_type","instrument","isotope_element","concentration","source_file"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.002,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.002,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.002,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.002,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.003,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.002,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.002,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","103Rh",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.017,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.028,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.027,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.02,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.034,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.023,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.019,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.039,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.018,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.024,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.033,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.011,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.013,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.018,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","104Pd",0.018,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.078,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.045,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.005,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.086,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.097,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.043,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.155,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.108,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.344,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.107,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.141,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.09,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.182,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.085,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","107Ag",0.086,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.041,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.018,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.039,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.038,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.063,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.07,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.044,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.029,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.027,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.051,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.031,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.026,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.019,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.026,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","111Cd",0.026,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.347,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.289,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.18,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.181,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.513,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.226,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.294,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.076,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.044,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.083,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.077,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.22,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.255,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.071,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","118Sn",0.04,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.067,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.007,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.008,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.023,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.009,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.035,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.016,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.031,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.038,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.068,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.077,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.025,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.025,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.062,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","123Sb",0.041,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.002,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","125Te",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.002,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","125Te",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","125Te",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.001,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","125Te",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","125Te",0.002,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.113,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.039,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.062,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.063,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.052,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.184,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.07,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.07,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.088,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.141,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.052,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.079,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.089,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.056,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","133Cs",0.096,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","138Ba",9.793,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","138Ba",21.692,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","138Ba",11.977,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","138Ba",15.166,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","138Ba",22.336,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","138Ba",11.629,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","138Ba",15.398,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","138Ba",14.764,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","138Ba",20.893,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","138Ba",11.287,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","138Ba",17.018,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","138Ba",3.498,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","138Ba",8.398,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","138Ba",9.346,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","138Ba",14.608,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","139La",0.29,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","139La",0.138,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","139La",0.204,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","139La",0.215,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","139La",0.131,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","139La",0.217,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","139La",0.222,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","139La",0.279,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","139La",0.224,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","139La",0.266,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","139La",0.311,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","139La",0.182,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"UMP","9","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","139La",0.174,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SME","29","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","139La",0.223,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SMW","44","C1",2009-10-09,"fall_2009","Larrea tridentata","ICP-MS","139La",0.291,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","140Ce",0.559,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
